timestamp,diario,tag,Largo
01/01/2020 03:07:02 p. m.,Estoy tranquilo solo que me falta mi hijo para estar completo,Positivo,61
01/01/2020 06:52:52 p. m.,Conmovido,Ambivalente,9
01/01/2020 09:04:49 p. m.,"Ayer fue Año Nuevo 
Dormí poco y mi niño estaba un poco enfermo",Negativo,63
01/01/2020 10:24:02 p. m.,"Tranquila, con un poco de ánimo.",Ambivalente,32
01/01/2020 12:29:30 p. m.,"Debo terminar de cerrar ciclos y hacer que las personas tomen enserio mi palabra, me parece que a veces tomo una decisión y no le dan la importancia que yo le doy.",Negativo,163
01/03/2020 08:01:28 p. m.,"Si estás en una crisis emocional o simplemente quieres platicar con un especialista en salud mental, puedes comunicarte a este número telefónico en cualquier momento: 5547376090",JENNY,177
01/04/2020 06:15:10 p. m.,Desconcertada muy desconcertada y triste,Negativo,40
01/06/2020 06:09:59 p. m.,Hoy me siento desgastado decepcionado,Negativo,37
01/06/2020 06:56:43 p. m.,"Me siento de la mierda,Como todas las opciones que me dabas ahora se que hecho a perder mi vida y yo ya no se que hacer Realmente necesito ayuda no se como explicarlo",Negativo,166
01/06/2020 07:55:01 p. m.,"Pues.... Sigo con la incertidumbre de saber que va suceder, cada vez es más el suspenso que acontece a nuestro alrededor, está terrible pandemia a cambiado todo lo que normalmente hacíamos y éramos, es mucho el miedo de saber que en cualquier lugar se puede contagiar, y sin tener un certidumbre se saber cómo cuidarse o no ponerse en riesgo, además, la poca empatía de la sociedad que no muestra un compromiso para que esté episodio transite con el menor daño posible, al parecer, es todo lo contrario, ni le importa lo que pueda pasar, mientras no le pase a su familia o en su persona, por tanto, esto crece cada vez más y al parecer no se puede controlar, se habla de medicamentos que ayudan a mitigar los síntomas y acelerar el proceso de curacion, pero estos en países muy lejanos, Rusia, se habla de vacunas que se están probando, también en países lejanos china, Japón, y que de alguna forma están fuera del alcance, me estoy volviendo inseguro e hipocondriaco...muy mal...mal...",Negativo,986
01/06/2020 08:10:30 p. m.,"Con ganas de salir, cansada",Negativo,27
01/07/2020 04:00:54 p. m.,Tranquila,Positivo,9
01/07/2020 10:45:18 p. m.,La verdad hoy me siento un poco cansada pero también feliz por qué ya casi es hora de dormir pero también decepcionada por no dar el tiempo suficiente o puntal a estas secciones pero bien al final.,Ambivalente,197
01/07/2020 11:17:55 p. m.,"Primero disculparme por dejar de hablar contigo y me siento más adaptaba a los cambios laborales, aunque mi vida social está por lo suelos",Ambivalente,138
01/11/2019 02:09:27 p. m.,"Anoche tuve una reunión de amigos y estuvo muy bien, hubo un conflicto entre una pareja que estaba presente pero nada que no se pudiera resolver, entonces, anoche me desvele y tome bastante, ahora me siento desvelado con resaca pero tranquilo.",Positivo,243
01/11/2019 03:08:59 p. m.,"Me siento triste pero sé que las cosas pasan por alguna razón, aunque a veces nos neguemos a eso, soy responsable de mis acciones y de mis emociones, trabajaré para mejorarme",Negativo,174
01/11/2019 06:36:52 p. m.,Estoy triste,Negativo,12
01/11/2019 08:19:56 p. m.,Muy bien,Positivo,8
01/11/2019 08:35:07 a. m.,Hdhdhdhsjdjxjsjsjxjdjdhxhdjdjfjfjxusjsjdjdjsnxjxjdjxhxjxjxhzhshzhshshshshshsjj jxjdhdjsjxjxjdjsjxjcjdnxhxjxjshshxjxjshxjd,-,121
01/11/2019 09:02:07 a. m.,"Me siento cansada, a pesar de que dormí bien. Tengo muchos pendientes y a pesar de que tengo la disposición para hacerlos, no tengo la energía",Negativo,142
01/11/2019 10:03:37 a. m.,"Estoy emocionada, voy a hacer algo fuera de la rutina, solo espero que no haya alguna complicacion y que todo salga muy bien",Positivo,124
01/11/2019 11:40:51 a. m.,"Hoy me siento muy contenta, comenzando nuevos proyectos y con mucho ánimo de estar en esta nueva etapa profesional y personal.",Positivo,126
01/11/2019 11:47:37 a. m.,"Mi día inicio bien, tengo muchos pendientes en mi trabajo, estoy pasando por una mala racha de ventas en el negocio lo que me tiene algo frustrado por no poder mi mismo hacer mas, ya que dependo de mi equipo para salir adelante",Ambivalente,227
01/11/2019 11:57:51 a. m.,Me siento cansada y desmotivada. No puedo avanzar en mis proyectos profesionales por la burocracia que hay en mi trabajo,Negativo,120
01/11/2019 12:00:40 p. m.,Estoy muy contento.,Positivo,19
01/12/2019 09:02:17 p. m.,Irritante,Negativo,9
01/12/2019 09:44:34 p. m.,Hola Jenny pues hoy fue un fin de semana estuvo bien mi día fui por esferas de navidad y luces. Me la pase durmiendo y comiendo :) para reponer fuerzas. Todo bien,Positivo,162
01/12/2019 10:33:29 p. m.,Me siento bien por que este día fue perfecto tuve todo lo que quería,Positivo,68
01/12/2019 11:13:08 p. m.,"Vino a verme mi mejor amiga de
La secundaria y prepa 
Hace mucho no nos veíamos porque nos habíamos distanciado 
Pero el volver a platicar con ella y que se quedara en mi casa me dio mucho gusto",Positivo,194
02/01/2020 02:26:15 p. m.,Feliz porque estoy de vacaciones,Positivo,32
02/01/2020 06:50:52 p. m.,"Hoy me sentí cansada durante todo el día a pesar de que dormí mucho, estoy abriendo un negocio pero eso exige mucho tiempo y a veces como hoy no tengo muchas ganas de invertirselo, tengo mucho sueño porque trabaje parte de mi día, Hoy no me siento muy animada",Ambivalente,259
02/01/2020 09:59:08 p. m.,Estoy tranquila y pensando en las cosas que hare mañana,Positivo,55
02/01/2020 10:47:47 a. m.,Bien porque estoy de vacaciones!!,Positivo,33
02/01/2020 11:04:21 a. m.,Tranquila,Positivo,9
02/02/2020 08:02:26 p. m.,"Hoy me siento bien, no he tenido mucho tiempo para pensar en cosas tristes; lo único que no ha mejorado es la relación que tengo por él momento con mi novio, hemos tenido algunas discusiones que si me sacan de onda pero sé que con paciencia y comunicación todo va a mejorar",Positivo,273
02/02/2020 08:22:13 p. m.,Feliz,Positivo,5
02/02/2020 10:13:00 p. m.,"Tranquila, relajada",Positivo,19
02/03/2020 06:39:40 p. m.,Sólo algo de extres,Negativo,19
02/03/2020 07:36:04 p. m.,Hoy fue un día raro por cambiamos de oficinas de hecho como todavía no están listas tendremos que trabajar desde casa. Es raro cambiar de hábitos o costumbres. Pero emocionado por estrenar!!!!,Positivo,192
02/04/2020 06:14:01 p. m.,Cansado pero satisfecho porque atendí varios pendientes,Ambivalente,55
02/06/2020 04:19:28 p. m.,"Me encuentro contento, seguro y tranquilo en casa",Positivo,49
02/06/2020 07:22:00 p. m.,Genial,Positivo,6
02/07/2020 03:49:15 p. m.,"Si estás en una crisis emocional o simplemente quieres platicar con un especialista en salud mental, puedes comunicarte a este número telefónico en cualquier momento: [5547376090](tel://5547376090)",JENNY,197
02/07/2020 05:39:47 p. m.,Me siento muy ansioso por el futuro hay mucha incertidumbre y eso me tiene con mucha preocupación,Negativo,97
02/07/2020 08:20:54 p. m.,Porque la comunicación asertiva funciona,Ambivalente,40
02/07/2020 10:09:08 a. m.,"Preocupada por economía.
Frustrada por no hacer más.
Cansada como para hacer más.
Triste por considerar que como mamá no estoy haciendo lo mejor",Negativo,144
02/07/2020 11:43:41 p. m.,"Si estás en una crisis emocional o simplemente quieres platicar con un especialista en salud mental, puedes comunicarte a este número telefónico en cualquier momento: [5547376090](tel://5547376090)",JENNY,197
02/07/2020 12:39:33 p. m.,Me siento desganada,Negativo,19
02/10/2019 03:51:58 p. m.,Todo ok,Positivo,7
02/10/2019 08:02:06 p. m.,Me siento algo estresado por qué al parecer por más que intento dar el ancho no me siento valorado a pesar que siento que doy resultados positivos,Negativo,146
02/11/2019 08:46:28 a. m.,Con sueño y algo confundida,Negativo,27
02/12/2019 01:13:31 p. m.,Contento y pleno por empezar una nueva semana y saber que a las personas que quiero les está yendo de maravilla,Positivo,111
02/12/2019 01:23:19 p. m.,Me siento feliz.,Positivo,16
02/12/2019 08:12:59 p. m.,Tranquila muy tranquila,Positivo,23
02/12/2019 08:27:03 p. m.,Fue un buen día en general,Positivo,26
02/12/2019 08:41:38 p. m.,"El día de hoy me siento un poco más tranquila tiene días que no veo al depredador que ha estado acechando mi vida y me siento bien, más relajada y en confianza con mis espacios de trabajo",Positivo,187
02/12/2019 10:01:19 p. m.,Feliz pero en el trabajo ya me siento un poco inútil,Ambivalente,52
02/12/2019 10:11:00 p. m.,El día de hoy estuvo un poco bien el el trabajo me fue bien en lo que es las ventas salí muy cansado me sentía como muy pesados de los pies 🦶salí a cenar y regrese a casa 🏠 me duché y me acosté,Positivo,195
02/12/2019 10:23:24 a. m.,Pues siento una presion en mi pecho,Negativo,35
02/12/2019 12:05:41 p. m.,Me siento super bien con migo y con mi familia y el entorno que me rodea,Positivo,72
02/12/2019 12:47:17 p. m.,bvbvbmnv,-,8
03/01/2020 09:58:10 a. m.,Presionada con mucho trabajo y proyectos,Negativo,40
03/01/2020 10:01:10 a. m.,Tranquila,Positivo,9
03/01/2020 10:49:18 a. m.,Empieza la cuenta regresiva para demostrar que puedo hacer lo que me sea conferido y hacer que arranque y funcionen los proyectos que tenemos planeados.,Positivo,152
03/01/2020 12:14:42 p. m.,Me siento bien,Positivo,14
